Time,Step,Metric,Value
1701619130.057881,0,Reward/average_reward,-43.70356750488281
1701619130.3860185,0,Loss/policy_loss_robot_9,3.1526715755462646
1701619130.386047,0,KL_Divergence/robot_9,0.05021963641047478
1701619130.6549428,0,Value Loss/Robot 9,50.449554443359375
1701619130.9996514,0,Loss/policy_loss_robot_8,-0.5091546773910522
1701619130.9996765,0,KL_Divergence/robot_8,0.01912057213485241
1701619131.2591224,0,Value Loss/Robot 8,10.239700317382812
1701619131.6214352,0,Loss/policy_loss_robot_1,1.1167362928390503
1701619131.621461,0,KL_Divergence/robot_1,0.02696218155324459
1701619131.885251,0,Value Loss/Robot 1,28.529579162597656
1701619132.0430427,0,Loss/policy_loss_robot_0,3.6805243492126465
1701619132.0430696,0,KL_Divergence/robot_0,0.0520598441362381
1701619132.3144019,0,Value Loss/Robot 0,26.578760147094727
1701619132.3197,0,Loss/policy_loss_robot_4,1.4530669450759888
1701619132.3197193,0,KL_Divergence/robot_4,0.10211462527513504
1701619132.5694547,0,Value Loss/Robot 4,27.110897064208984
1701619132.573779,0,Loss/policy_loss_robot_3,0.8312892913818359
1701619132.5737984,0,KL_Divergence/robot_3,0.060523539781570435
1701619132.8240237,0,Value Loss/Robot 3,8.891913414001465
1701619132.828347,0,Loss/policy_loss_robot_2,4.293354511260986
1701619132.8283653,0,KL_Divergence/robot_2,0.16683711111545563
1701619133.0789149,0,Value Loss/Robot 2,46.24917221069336
1701619133.084241,0,Loss/policy_loss_robot_5,0.4686434864997864
1701619133.084259,0,KL_Divergence/robot_5,0.32455435395240784
1701619133.331519,0,Value Loss/Robot 5,16.22161865234375
1701619133.3368063,0,Loss/policy_loss_robot_7,4.567193031311035
1701619133.3368244,0,KL_Divergence/robot_7,0.35647234320640564
1701619133.5986814,0,Value Loss/Robot 7,93.82389068603516
1701619133.60393,0,Loss/policy_loss_robot_6,2.3959619998931885
1701619133.6039495,0,KL_Divergence/robot_6,0.2992849349975586
1701619133.8542736,0,Value Loss/Robot 6,38.57740783691406
1701619140.9402633,1,Reward/average_reward,-40.39070129394531
1701619141.284934,1,Loss/policy_loss_robot_2,1.7359874248504639
1701619141.2849607,1,KL_Divergence/robot_2,0.030305631458759308
1701619141.538574,1,Value Loss/Robot 2,47.00822067260742
1701619141.8514676,1,Loss/policy_loss_robot_4,-1.3055517673492432
1701619141.8514931,1,KL_Divergence/robot_4,0.020055707544088364
1701619142.1079419,1,Value Loss/Robot 4,37.32726287841797
1701619142.4684129,1,Loss/policy_loss_robot_3,0.5004696249961853
1701619142.468438,1,KL_Divergence/robot_3,0.028220761567354202
1701619142.7246459,1,Value Loss/Robot 3,26.128950119018555
1701619143.0432386,1,Loss/policy_loss_robot_8,-2.3408336639404297
1701619143.043264,1,KL_Divergence/robot_8,0.0012895384570583701
1701619143.2955222,1,Value Loss/Robot 8,26.99576759338379
1701619143.623266,1,Loss/policy_loss_robot_9,-0.968472957611084
1701619143.6232922,1,KL_Divergence/robot_9,0.02493963949382305
1701619143.880172,1,Value Loss/Robot 9,29.62309455871582
1701619144.197855,1,Loss/policy_loss_robot_0,-0.5945482850074768
1701619144.1978807,1,KL_Divergence/robot_0,0.013003279455006123
1701619144.451893,1,Value Loss/Robot 0,17.60003662109375
1701619144.4573965,1,Loss/policy_loss_robot_6,-0.46973371505737305
1701619144.4574175,1,KL_Divergence/robot_6,0.06526803970336914
1701619144.7113702,1,Value Loss/Robot 6,16.215545654296875
1701619145.0476508,1,Loss/policy_loss_robot_7,-0.2965260148048401
1701619145.047677,1,KL_Divergence/robot_7,0.019947059452533722
1701619145.3009248,1,Value Loss/Robot 7,49.02787780761719
1701619145.6704392,1,Loss/policy_loss_robot_1,-0.6562824845314026
1701619145.6704657,1,KL_Divergence/robot_1,0.016034308820962906
1701619145.929462,1,Value Loss/Robot 1,17.701152801513672
1701619145.934795,1,Loss/policy_loss_robot_5,-2.033252716064453
1701619145.9348156,1,KL_Divergence/robot_5,0.07641487568616867
1701619146.1923666,1,Value Loss/Robot 5,8.682005882263184
1701619153.041806,2,Reward/average_reward,-44.30136489868164
1701619153.382639,2,Loss/policy_loss_robot_8,-0.5761280059814453
1701619153.3826644,2,KL_Divergence/robot_8,0.0012096234131604433
1701619153.6377916,2,Value Loss/Robot 8,24.590890884399414
1701619153.9503112,2,Loss/policy_loss_robot_0,1.0062272548675537
1701619153.9503367,2,KL_Divergence/robot_0,0.02536068856716156
1701619154.2075412,2,Value Loss/Robot 0,23.66111946105957
1701619154.2118876,2,Loss/policy_loss_robot_1,2.2683725357055664
1701619154.2119074,2,KL_Divergence/robot_1,0.06309343129396439
1701619154.4659114,2,Value Loss/Robot 1,24.65523338317871
1701619154.6702204,2,Loss/policy_loss_robot_3,3.095857858657837
1701619154.670248,2,KL_Divergence/robot_3,0.05044606328010559
1701619154.925594,2,Value Loss/Robot 3,12.81520938873291
1701619154.9312444,2,Loss/policy_loss_robot_9,0.4189426302909851
1701619154.931265,2,KL_Divergence/robot_9,0.0743514895439148
1701619155.1949584,2,Value Loss/Robot 9,19.741037368774414
1701619155.5172427,2,Loss/policy_loss_robot_6,1.2065755128860474
1701619155.5172691,2,KL_Divergence/robot_6,0.04284434765577316
1701619155.774078,2,Value Loss/Robot 6,44.77901840209961
1701619155.779357,2,Loss/policy_loss_robot_7,0.6672219634056091
1701619155.7793763,2,KL_Divergence/robot_7,0.05744585022330284
1701619156.0392776,2,Value Loss/Robot 7,31.3708553314209
1701619156.0447378,2,Loss/policy_loss_robot_4,3.2703158855438232
